,any_outlier
0,False
1,True
2,False
3,False
4,True
5,True
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,True
14,False
15,True
16,False
17,False
18,True
19,True
20,False
21,True
22,False
23,True
24,True
25,False
26,False
27,True
28,False
29,True
30,False
31,False
32,False
33,False
34,False
35,True
36,False
37,True
38,False
39,False
40,False
41,False
42,False
43,True
44,False
45,False
46,False
47,True
48,False
49,False
50,False
51,True
52,True
53,False
54,False
55,False
56,False
57,False
58,True
59,False
60,True
61,True
62,False
63,False
64,True
65,True
66,False
67,False
68,False
69,False
70,True
71,True
72,False
73,True
74,True
75,True
76,False
77,False
78,False
79,False
80,True
81,True
82,False
83,False
84,True
85,True
86,False
87,False
88,False
89,False
90,True
91,False
92,True
93,True
94,False
95,False
96,False
97,False
98,False
99,True
100,False
101,False
102,True
103,True
104,False
105,False
106,True
107,True
108,False
109,False
110,True
111,True
112,False
113,False
114,True
115,False
116,False
117,True
118,False
119,False
120,False
121,False
122,False
123,True
124,False
125,False
126,False
127,False
128,False
129,False
130,False
131,True
132,False
133,True
134,True
135,False
136,False
137,False
138,True
139,True
140,False
141,False
142,True
143,False
144,False
145,False
146,False
147,False
148,True
149,True
150,True
151,True
152,False
153,True
154,True
155,True
156,True
157,False
158,False
159,False
160,False
161,False
162,True
163,True
164,True
165,False
166,False
167,True
168,True
169,False
170,False
171,True
172,False
173,True
174,False
175,False
176,False
177,False
178,False
179,True
180,False
181,True
182,False
183,True
184,True
185,False
186,False
187,True
188,False
189,True
190,False
191,True
192,False
193,True
194,False
195,False
196,True
197,False
198,True
199,True
200,False
201,True
202,False
203,False
204,False
205,True
206,False
207,False
208,False
209,False
210,True
211,True
212,True
213,True
214,False
215,False
216,False
217,True
218,True
219,False
220,False
221,False
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,False
230,False
231,False
232,False
233,False
234,True
235,False
236,True
237,False
238,True
239,True
240,False
241,True
242,True
243,False
244,False
245,True
246,False
247,True
248,False
249,True
250,False
251,True
252,False
253,False
254,False
255,True
256,False
257,True
258,False
259,True
260,False
261,True
262,True
263,False
264,True
265,True
266,False
267,False
268,True
269,False
270,False
271,True
272,True
273,True
274,False
275,True
276,True
277,False
278,True
279,True
280,False
281,False
282,False
283,True
284,True
285,True
286,True
287,True
288,False
289,True
290,True
291,False
292,True
293,False
294,False
295,True
296,True
297,True
298,False
299,False
300,True
301,False
302,True
303,False
304,False
305,False
306,True
307,False
308,False
309,False
310,False
311,False
312,True
313,True
314,False
315,False
316,False
317,False
318,True
319,False
320,False
321,False
322,True
323,False
324,True
325,False
326,True
327,False
328,False
329,False
330,False
331,False
332,False
333,True
334,False
335,False
336,False
337,False
338,False
339,False
340,True
341,False
342,False
343,True
344,False
345,False
346,False
347,False
348,True
349,False
350,True
351,True
352,True
353,False
354,False
355,False
356,False
357,False
358,True
359,False
360,True
361,True
362,False
363,False
364,False
365,True
366,False
367,False
368,True
369,False
370,True
371,False
372,False
373,False
374,True
375,False
376,False
377,False
378,False
379,False
380,False
381,True
382,False
383,False
384,True
385,False
386,False
387,False
388,False
389,True
390,False
391,False
392,False
393,True
394,True
395,True
396,True
397,True
398,False
399,False
400,True
401,True
402,False
403,False
404,True
405,True
406,True
407,True
408,False
409,False
410,True
411,True
412,True
413,True
414,True
415,False
416,False
417,True
418,False
419,True
420,False
421,True
422,False
423,False
424,False
425,False
426,True
427,False
428,False
429,False
430,True
431,False
432,True
433,True
434,False
435,False
436,False
437,False
438,False
439,True
440,False
441,True
442,False
443,True
444,True
445,False
446,False
447,True
448,False
449,True
450,False
451,False
452,False
453,False
454,False
455,False
456,True
457,False
458,False
459,False
460,False
461,True
462,False
463,True
464,True
465,False
466,True
467,True
468,True
469,True
470,False
471,True
472,True
473,False
474,True
475,False
476,True
477,True
478,False
479,False
480,True
481,True
482,False
483,False
484,False
485,False
486,True
487,False
488,True
489,False
490,True
491,True
492,True
493,False
494,True
495,True
496,False
497,False
498,False
499,True
500,True
501,False
502,False
503,False
504,False
505,False
506,False
507,False
508,False
509,True
510,True
511,False
512,False
513,False
514,True
515,False
516,False
517,False
518,True
519,True
520,False
521,True
522,False
523,True
524,False
525,False
526,False
527,False
528,False
529,False
530,False
531,True
532,False
533,False
534,False
535,False
536,False
537,True
538,False
539,True
540,False
541,True
