,0
Age,18
Course,6
Gender,2
CGPA,145
Stress_Level,6
Depression_Score,6
Anxiety_Score,6
Sleep_Quality,3
Physical_Activity,3
Diet_Quality,3
Social_Support,3
Relationship_Status,3
Substance_Use,4
Counseling_Service_Use,3
Family_History,2
Chronic_Illness,2
Financial_Stress,6
Extracurricular_Involvement,3
Semester_Credit_Load,15
Residence_Type,3
burnout_composite_score,216
burnout,2
burnout_raw_score,16
method1_tertiles,3
method2_wider,3
method3_very_wide,3
method4_manual,3
method5_manual2,3
method6_kmeans,3
