Feature,Importance
Course_Engineering,0.07276339
Course_Others,0.056421895
Course_Computer Science,0.05623875
Course_Law,0.051507585
Course_Medical,0.046342004
Social_Support,0.0430075
Substance_Use,0.04280194
Semester_Credit_Load,0.041786563
CGPA,0.04137479
Physical_Activity,0.040799547
Family_History,0.04060838
Financial_Stress,0.040103324
Counseling_Service_Use,0.039976817
Sleep_Quality,0.03957123
Extracurricular_Involvement,0.03953967
Age,0.03940338
Diet_Quality,0.039241347
Residence_Type_With Family,0.039036248
Relationship_Status_Married,0.038976066
Relationship_Status_Single,0.038701095
Gender_Male,0.03824065
Residence_Type_On-Campus,0.036897942
Chronic_Illness,0.03665999
